Biomarker Name,ID,Exhaustive Synonyms,Type,Linking Varibles
Trihexosylceramide (d18:1/12:0),445030,Gb3(d18:1/12:0),Chemical,HMDB0004877
Trihexosylceramide (d18:1/16:0),503945,Gb3(d18:1/16:0),Chemical,HMDB0004879
Trihexosylceramide (d18:1/18:0),313880,Gb3(d18:1/18:0),Chemical,HMDB0004880
Trihexosylceramide (d18:1/22:0),834051,Gb3(d18:1/22:0),Chemical,HMDB0004882
Trihexosylceramide (d18:1/26:1(17Z)),229848,Gb3(d18:1/26:1),Chemical,HMDB0004884
Trihexosylceramide (d18:1/24:0),160892,Gb3(d18:1/24:0),Chemical,HMDB0004886
Tetrahexosylceramide (d18:1/12:0),482283,Globoside (d18:1/12:0),Chemical,HMDB0004958
cis-4-Octenedioic acid,117662,,Chemical,HMDB0004982
Dimethyl sulfone,629720,"MSM, Methylsulfonylmethane",Chemical,HMDB0004983
m-Tyramine,769996,"3-Tyramine, 3-Hydroxyphenethylamine",Chemical,HMDB0004989
Codeine,985431,Methylmorphine,Chemical,HMDB0004995
Gabapentin,510037,Neurontin,Chemical,HMDB0005015
Enterodiol,115688,,Chemical,HMDB0005056
Tetradecanoylcarnitine,136565,"Myristoylcarnitine, C14 Carnitine",Chemical,HMDB0005066
8-Isoprostaglandin F2a,659540,"8-iso-PGF2α, iPF2α-III",Chemical,HMDB0005083
(R)-Salsolinol,542386,,Chemical,HMDB0005199
Dihydrodaidzein,815227,,Chemical,HMDB0005760
Glycitein,821384,,Chemical,HMDB0005781
Hesperetin,850394,,Chemical,HMDB0005782
Hydroxytyrosol,544640,"3,4-Dihydroxyphenylethanol, DOPET",Chemical,HMDB0005784
Tetrahydrocurcumin,998838,,Chemical,HMDB0005789
Sulforaphane,177603,,Chemical,HMDB0005792
Quercetin,171891,,Chemical,HMDB0005794
Kaempferol,124851,,Chemical,HMDB0005801
Gallic acid,862033,"3,4,5-Trihydroxybenzoic acid",Chemical,HMDB0005807
Dihydrogenistein,707224,,Chemical,HMDB0005897
D-Pipecolic acid,272310,(R)-Piperidine-2-carboxylic acid,Chemical,HMDB0005960
Tetrahydrodeoxycortisol,351075,THS,Chemical,HMDB0005972
Hexanal,994360,Hexyl aldehyde,Chemical,HMDB0005994
20-Hydroxyeicosatetraenoic acid,877583,20-HETE,Chemical,HMDB0005998
11-Ketoetiocholanolone,188285,,Chemical,HMDB0006031
Scyllitol,375779,Scyllo-Inositol,Chemical,HMDB0006088
Enterolactone,873700,,Chemical,HMDB0006101
12-HETE,950232,12-Hydroxyeicosatetraenoic acid,Chemical,HMDB0006111
Malondialdehyde,573206,"MDA, Propanedial",Chemical,HMDB0006112
3-Hydroxyhippuric acid,486314,m-Hydroxyhippuric acid,Chemical,HMDB0006116
Alpha-N-Phenylacetyl-L-glutamine,562763,Phenylacetylglutamine,Chemical,HMDB0006344
Iso-Valeraldehyde,276456,"3-Methylbutanal, Isovaleral",Chemical,HMDB0006478
Clupanodonic acid,839775,"Docosapentaenoic acid (n-3), DPA",Chemical,HMDB0006528
Aflatoxin B1,443080,AFB1,Chemical,HMDB0006552
Prolylhydroxyproline,955138,Pro-Hyp,Chemical,HMDB0006695
Estriol-16-Glucuronide,590517,,Chemical,HMDB0006766
PC(14:0/16:0),902366,1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0007869
PC(14:0/18:1(11Z)),139679,1-Myristoyl-2-cis-vaccenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0007872
PC(14:0/18:1(9Z)),979842,1-Myristoyl-2-oleoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0007873
"PC(14:0/18:2(9Z,12Z))",288122,1-Myristoyl-2-linoleoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0007874
"PC(14:0/18:3(9Z,12Z,15Z))",568855,1-Myristoyl-2-linolenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0007876
PC(14:0/20:1(11Z)),264742,1-Myristoyl-2-(11Z-eicosenoyl)-sn-glycero-3-phosphocholine,Chemical,HMDB0007879
"PC(14:0/20:2(11Z,14Z))",575259,"1-Myristoyl-2-(11Z,14Z-eicosadienoyl)-sn-glycero-3-phosphocholine",Chemical,HMDB0007880
"PC(14:0/20:3(8Z,11Z,14Z))",254299,1-Myristoyl-2-dihomo-gamma-linolenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0007882
"PC(14:0/20:4(5Z,8Z,11Z,14Z))",926236,1-Myristoyl-2-arachidonoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0007883
"PC(14:0/20:4(8Z,11Z,14Z,17Z))",365161,,Chemical,HMDB0007884
PC(14:0/22:0),961227,1-Myristoyl-2-behenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0007886
PC(14:0/22:1(13Z)),283645,1-Myristoyl-2-erucoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0007887
"PC(14:0/22:5(4Z,7Z,10Z,13Z,16Z))",892412,1-Myristoyl-2-docosapentaenoyl-sn-glycero-3-phosphocholine (n-6),Chemical,HMDB0007890
"PC(14:0/22:5(7Z,10Z,13Z,16Z,19Z))",593901,1-Myristoyl-2-docosapentaenoyl-sn-glycero-3-phosphocholine (n-3),Chemical,HMDB0007891
"PC(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",854704,1-Myristoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0007892
PC(14:0/P-16:0),308349,1-Myristoyl-2-(palmitoyl-plasmenyl)-sn-glycero-3-phosphocholine,Chemical,HMDB0007895
PC(14:0/P-18:1(11Z)),977624,,Chemical,HMDB0007897
PC(14:0/P-18:1(9Z)),608275,,Chemical,HMDB0007898
PC(14:1(9Z)/14:0),245917,,Chemical,HMDB0007899
PC(14:1(9Z)/16:1(9Z)),448528,,Chemical,HMDB0007903
PC(14:1(9Z)/18:0),710287,,Chemical,HMDB0007904
PC(14:1(9Z)/18:1(11Z)),617772,,Chemical,HMDB0007905
PC(14:1(9Z)/18:1(9Z)),346337,,Chemical,HMDB0007906
"PC(14:1(9Z)/18:2(9Z,12Z))",652762,,Chemical,HMDB0007907
PC(14:1(9Z)/20:0),419390,,Chemical,HMDB0007911
PC(14:1(9Z)/20:1(11Z)),498032,,Chemical,HMDB0007912
"PC(14:1(9Z)/20:2(11Z,14Z))",770872,,Chemical,HMDB0007913
"PC(14:1(9Z)/20:3(5Z,8Z,11Z))",823353,,Chemical,HMDB0007914
"PC(14:1(9Z)/20:3(8Z,11Z,14Z))",743704,,Chemical,HMDB0007915
PC(14:1(9Z)/22:0),417093,,Chemical,HMDB0007919
"PC(14:1(9Z)/22:4(7Z,10Z,13Z,16Z))",503535,,Chemical,HMDB0007922
"PC(14:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))",214566,,Chemical,HMDB0007923
"PC(14:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))",127537,,Chemical,HMDB0007924
PC(14:1(9Z)/P-18:0),678935,,Chemical,HMDB0007929
PC(14:1(9Z)/P-18:1(11Z)),346881,,Chemical,HMDB0007930
PC(14:1(9Z)/P-18:1(9Z)),662870,,Chemical,HMDB0007931
PC(15:0/15:0),285447,,Chemical,HMDB0007934
PC(16:0/14:0),735923,1-Palmitoyl-2-myristoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0007965
PC(16:0/16:1(9Z)),479208,1-Palmitoyl-2-palmitoleoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0007969
PC(16:0/18:1(11Z)),833229,1-Palmitoyl-2-cis-vaccenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0007971
PC(16:0/18:1(9Z)),225248,"1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine, POPC",Chemical,HMDB0007972
"PC(16:0/18:2(9Z,12Z))",435240,"1-Palmitoyl-2-linoleoyl-sn-glycero-3-phosphocholine, PLPC",Chemical,HMDB0007973
"PC(16:0/18:3(6Z,9Z,12Z))",398269,1-Palmitoyl-2-gamma-linolenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0007974
"PC(16:0/18:3(9Z,12Z,15Z))",195071,1-Palmitoyl-2-alpha-linolenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0007975
"PC(16:0/18:4(6Z,9Z,12Z,15Z))",887282,1-Palmitoyl-2-stearidonoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0007976
PC(16:0/20:0),719072,1-Palmitoyl-2-arachidoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0007977
PC(16:0/20:1(11Z)),987256,1-Palmitoyl-2-(11Z-eicosenoyl)-sn-glycero-3-phosphocholine,Chemical,HMDB0007978
"PC(16:0/20:5(5Z,8Z,11Z,14Z,17Z))",938417,"1-Palmitoyl-2-eicosapentaenoyl-sn-glycero-3-phosphocholine, PEPC",Chemical,HMDB0007984
"PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",601736,"1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine, PDPC",Chemical,HMDB0007991
PC(16:0/24:1(15Z)),347804,1-Palmitoyl-2-nervonoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0007993
PC(16:0/P-18:1(11Z)),717099,,Chemical,HMDB0007996
PC(16:0/P-18:1(9Z)),904593,,Chemical,HMDB0007997
PC(16:1(9Z)/14:1(9Z)),752246,,Chemical,HMDB0007999
PC(16:1(9Z)/16:0),453755,,Chemical,HMDB0008001
PC(16:1(9Z)/16:1(9Z)),250265,,Chemical,HMDB0008002
PC(16:1(9Z)/18:0),437689,,Chemical,HMDB0008003
PC(16:1(9Z)/18:1(11Z)),330816,,Chemical,HMDB0008004
PC(16:1(9Z)/18:1(9Z)),926702,,Chemical,HMDB0008005
"PC(16:1(9Z)/18:2(9Z,12Z))",337219,,Chemical,HMDB0008006
"PC(16:1(9Z)/18:3(6Z,9Z,12Z))",512641,,Chemical,HMDB0008007
"PC(16:1(9Z)/18:3(9Z,12Z,15Z))",963199,,Chemical,HMDB0008008
PC(16:1(9Z)/20:0),750009,,Chemical,HMDB0008010
"PC(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))",951867,,Chemical,HMDB0008015
"PC(16:1(9Z)/20:4(8Z,11Z,14Z,17Z))",668493,,Chemical,HMDB0008016
"PC(16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))",785723,,Chemical,HMDB0008017
"PC(16:1(9Z)/22:2(13Z,16Z))",166668,,Chemical,HMDB0008020
"PC(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))",339552,,Chemical,HMDB0008022
"PC(16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))",201659,,Chemical,HMDB0008024
PC(16:1(9Z)/P-16:0),482321,,Chemical,HMDB0008027
PC(16:1(9Z)/P-18:0),132845,,Chemical,HMDB0008028
PC(16:1(9Z)/P-18:1(11Z)),630765,,Chemical,HMDB0008029
PC(16:1(9Z)/P-18:1(9Z)),485492,,Chemical,HMDB0008030
PC(18:0/14:1(9Z)),174395,,Chemical,HMDB0008032
PC(18:0/16:1(9Z)),102619,,Chemical,HMDB0008035
PC(18:0/18:0),731184,"1,2-Distearoyl-sn-glycero-3-phosphocholine, DSPC",Chemical,HMDB0008036
PC(18:0/18:1(11Z)),991287,1-Stearoyl-2-cis-vaccenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008037
PC(18:0/18:1(9Z)),804238,"1-Stearoyl-2-oleoyl-sn-glycero-3-phosphocholine, SOPC",Chemical,HMDB0008038
"PC(18:0/20:3(5Z,8Z,11Z))",114229,"1-Stearoyl-2-(5Z,8Z,11Z-eicosatrienoyl)-sn-glycero-3-phosphocholine",Chemical,HMDB0008046
"PC(18:0/20:3(8Z,11Z,14Z))",147844,1-Stearoyl-2-dihomo-gamma-linolenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008047
"PC(18:0/22:4(7Z,10Z,13Z,16Z))",501885,1-Stearoyl-2-docosatetraenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008054
"PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",503554,1-Stearoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008057
PC(18:0/24:0),907707,1-Stearoyl-2-lignoceroyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008058
PC(18:0/P-18:0),650991,,Chemical,HMDB0008061
PC(18:0/P-18:1(11Z)),322301,,Chemical,HMDB0008062
PC(18:0/P-18:1(9Z)),752393,,Chemical,HMDB0008063
PC(18:1(11Z)/14:0),765930,,Chemical,HMDB0008064
PC(18:1(11Z)/14:1(9Z)),454616,,Chemical,HMDB0008065
PC(18:1(11Z)/16:0),422720,,Chemical,HMDB0008067
PC(18:1(11Z)/16:1(9Z)),393182,,Chemical,HMDB0008068
PC(18:1(11Z)/18:0),966571,,Chemical,HMDB0008069
"PC(18:1(11Z)/18:4(6Z,9Z,12Z,15Z))",995405,,Chemical,HMDB0008075
"PC(18:1(11Z)/20:2(11Z,14Z))",210200,,Chemical,HMDB0008078
"PC(18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))",803781,,Chemical,HMDB0008083
"PC(18:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z))",542974,,Chemical,HMDB0008088
"PC(18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))",888882,,Chemical,HMDB0008089
PC(18:1(11Z)/24:0),674565,,Chemical,HMDB0008091
PC(18:1(11Z)/P-16:0),570708,,Chemical,HMDB0008093
PC(18:1(11Z)/P-18:0),919619,,Chemical,HMDB0008094
PC(18:1(9Z)/14:0),322797,,Chemical,HMDB0008097
PC(18:1(9Z)/14:1(9Z)),192640,,Chemical,HMDB0008098
PC(18:1(9Z)/16:0),320156,1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008100
PC(18:1(9Z)/16:1(9Z)),931229,,Chemical,HMDB0008101
PC(18:1(9Z)/18:0),871322,,Chemical,HMDB0008102
"PC(18:1(9Z)/18:4(6Z,9Z,12Z,15Z))",262631,,Chemical,HMDB0008108
"PC(18:1(9Z)/20:2(11Z,14Z))",435671,,Chemical,HMDB0008111
"PC(18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))",607978,,Chemical,HMDB0008116
"PC(18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))",833691,,Chemical,HMDB0008121
"PC(18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))",156109,,Chemical,HMDB0008122
PC(18:1(9Z)/24:0),976460,,Chemical,HMDB0008124
PC(18:1(9Z)/P-16:0),982617,,Chemical,HMDB0008126
PC(18:1(9Z)/P-18:0),537766,,Chemical,HMDB0008127
"PC(18:2(9Z,12Z)/14:0)",196067,,Chemical,HMDB0008130
"PC(18:2(9Z,12Z)/14:1(9Z))",494536,,Chemical,HMDB0008131
"PC(18:2(9Z,12Z)/16:0)",768038,,Chemical,HMDB0008133
"PC(18:2(9Z,12Z)/16:1(9Z))",912405,,Chemical,HMDB0008134
"PC(18:2(9Z,12Z)/18:3(6Z,9Z,12Z))",199829,,Chemical,HMDB0008140
"PC(18:2(9Z,12Z)/18:3(9Z,12Z,15Z))",915498,,Chemical,HMDB0008141
"PC(18:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z))",127207,,Chemical,HMDB0008142
"PC(18:2(9Z,12Z)/20:1(11Z))",423004,,Chemical,HMDB0008144
"PC(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))",632995,"1-Linoleoyl-2-arachidonoyl-sn-glycero-3-phosphocholine, LAPC",Chemical,HMDB0008147
"PC(18:2(9Z,12Z)/20:4(8Z,11Z,14Z,17Z))",994975,,Chemical,HMDB0008148
"PC(18:2(9Z,12Z)/22:2(13Z,16Z))",501846,,Chemical,HMDB0008152
"PC(18:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z))",411677,,Chemical,HMDB0008153
"PC(18:2(9Z,12Z)/P-16:0)",963152,,Chemical,HMDB0008159
"PC(18:3(6Z,9Z,12Z)/14:0)",134933,,Chemical,HMDB0008163
"PC(18:3(6Z,9Z,12Z)/16:0)",186071,,Chemical,HMDB0008166
"PC(18:3(6Z,9Z,12Z)/16:1(9Z))",583064,,Chemical,HMDB0008167
"PC(18:3(6Z,9Z,12Z)/18:2(9Z,12Z))",603941,,Chemical,HMDB0008171
"PC(18:3(6Z,9Z,12Z)/18:3(6Z,9Z,12Z))",335574,,Chemical,HMDB0008172
"PC(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))",437690,,Chemical,HMDB0008173
"PC(18:3(6Z,9Z,12Z)/20:0)",731270,,Chemical,HMDB0008175
"PC(18:3(6Z,9Z,12Z)/20:3(5Z,8Z,11Z))",593773,,Chemical,HMDB0008178
"PC(18:3(6Z,9Z,12Z)/20:3(8Z,11Z,14Z))",140657,,Chemical,HMDB0008179
"PC(18:3(6Z,9Z,12Z)/22:1(13Z))",591132,,Chemical,HMDB0008184
"PC(18:3(6Z,9Z,12Z)/24:1(15Z))",742879,,Chemical,HMDB0008191
"PC(18:3(6Z,9Z,12Z)/P-16:0)",726100,,Chemical,HMDB0008192
"PC(18:3(9Z,12Z,15Z)/14:0)",987934,,Chemical,HMDB0008196
"PC(18:3(9Z,12Z,15Z)/16:0)",449356,,Chemical,HMDB0008199
"PC(18:3(9Z,12Z,15Z)/16:1(9Z))",260955,,Chemical,HMDB0008200
"PC(18:3(9Z,12Z,15Z)/18:2(9Z,12Z))",105256,,Chemical,HMDB0008204
"PC(18:3(9Z,12Z,15Z)/18:3(6Z,9Z,12Z))",976608,,Chemical,HMDB0008205
"PC(18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z))",649997,,Chemical,HMDB0008206
"PC(18:3(9Z,12Z,15Z)/20:0)",766750,,Chemical,HMDB0008208
"PC(18:3(9Z,12Z,15Z)/20:3(5Z,8Z,11Z))",793626,,Chemical,HMDB0008211
"PC(18:3(9Z,12Z,15Z)/20:3(8Z,11Z,14Z))",895669,,Chemical,HMDB0008212
"PC(18:3(9Z,12Z,15Z)/22:1(13Z))",732192,,Chemical,HMDB0008217
"PC(18:3(9Z,12Z,15Z)/24:1(15Z))",572308,,Chemical,HMDB0008224
"PC(18:3(9Z,12Z,15Z)/P-16:0)",434415,,Chemical,HMDB0008225
"PC(18:4(6Z,9Z,12Z,15Z)/16:0)",115938,,Chemical,HMDB0008232
"PC(18:4(6Z,9Z,12Z,15Z)/18:1(11Z))",923423,,Chemical,HMDB0008235
"PC(18:4(6Z,9Z,12Z,15Z)/18:1(9Z))",430532,,Chemical,HMDB0008236
"PC(18:4(6Z,9Z,12Z,15Z)/18:2(9Z,12Z))",300375,,Chemical,HMDB0008237
"PC(18:4(6Z,9Z,12Z,15Z)/20:2(11Z,14Z))",407151,,Chemical,HMDB0008243
"PC(18:4(6Z,9Z,12Z,15Z)/22:0)",138964,,Chemical,HMDB0008249
"PC(18:4(6Z,9Z,12Z,15Z)/22:2(13Z,16Z))",631173,,Chemical,HMDB0008251
"PC(18:4(6Z,9Z,12Z,15Z)/24:0)",458286,,Chemical,HMDB0008256
"PC(18:4(6Z,9Z,12Z,15Z)/24:1(15Z))",195521,,Chemical,HMDB0008257
"PC(18:4(6Z,9Z,12Z,15Z)/P-16:0)",224176,,Chemical,HMDB0008258
"PC(18:4(6Z,9Z,12Z,15Z)/P-18:1(11Z))",184189,,Chemical,HMDB0008260
"PC(18:4(6Z,9Z,12Z,15Z)/P-18:1(9Z))",734642,,Chemical,HMDB0008261
PC(20:0/14:1(9Z)),184195,,Chemical,HMDB0008263
PC(20:0/16:0),707473,,Chemical,HMDB0008265
PC(20:0/16:1(9Z)),541569,,Chemical,HMDB0008266
"PC(20:0/18:3(6Z,9Z,12Z))",855917,,Chemical,HMDB0008271
"PC(20:0/18:3(9Z,12Z,15Z))",362262,,Chemical,HMDB0008272
"PC(20:0/20:4(5Z,8Z,11Z,14Z))",375800,,Chemical,HMDB0008279
"PC(20:0/20:4(8Z,11Z,14Z,17Z))",397253,,Chemical,HMDB0008280
PC(20:0/22:0),236792,1-Arachidoyl-2-behenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008282
PC(20:0/22:1(13Z)),871144,1-Arachidoyl-2-erucoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008283
"PC(20:0/22:4(7Z,10Z,13Z,16Z))",982852,1-Arachidoyl-2-adrenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008285
"PC(20:0/22:5(4Z,7Z,10Z,13Z,16Z))",482464,1-Arachidoyl-2-docosapentaenoyl-sn-glycero-3-phosphocholine (n-6),Chemical,HMDB0008286
"PC(20:0/22:5(7Z,10Z,13Z,16Z,19Z))",500722,1-Arachidoyl-2-docosapentaenoyl-sn-glycero-3-phosphocholine (n-3),Chemical,HMDB0008287
"PC(20:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",950621,1-Arachidoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008288
PC(20:0/P-16:0),886693,1-Arachidoyl-2-(palmitoyl-plasmenyl)-sn-glycero-3-phosphocholine,Chemical,HMDB0008291
PC(20:1(11Z)/14:0),965762,1-(11Z-Eicosenoyl)-2-myristoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008295
PC(20:1(11Z)/14:1(9Z)),510218,1-(11Z-Eicosenoyl)-2-myristoleoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008296
PC(20:1(11Z)/16:0),171897,1-(11Z-Eicosenoyl)-2-palmitoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008298
"PC(20:1(11Z)/18:2(9Z,12Z))",590769,1-(11Z-Eicosenoyl)-2-linoleoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008303
"PC(20:1(11Z)/20:3(5Z,8Z,11Z))",538710,"1-(11Z-Eicosenoyl)-2-(5Z,8Z,11Z-eicosatrienoyl)-sn-glycero-3-phosphocholine",Chemical,HMDB0008310
"PC(20:1(11Z)/20:3(8Z,11Z,14Z))",559586,1-(11Z-Eicosenoyl)-2-dihomo-gamma-linolenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008311
"PC(20:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))",912156,1-(11Z-Eicosenoyl)-2-eicosapentaenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008314
PC(20:1(11Z)/22:0),199650,1-(11Z-Eicosenoyl)-2-behenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008315
"PC(20:1(11Z)/22:4(7Z,10Z,13Z,16Z))",964028,1-(11Z-Eicosenoyl)-2-adrenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008318
PC(20:1(11Z)/P-16:0),907850,1-(11Z-Eicosenoyl)-2-(palmitoyl-plasmenyl)-sn-glycero-3-phosphocholine,Chemical,HMDB0008324
"PC(20:2(11Z,14Z)/14:0)",802617,"1-(11Z,14Z-Eicosadienoyl)-2-myristoyl-sn-glycero-3-phosphocholine",Chemical,HMDB0008328
"PC(20:2(11Z,14Z)/14:1(9Z))",476006,"1-(11Z,14Z-Eicosadienoyl)-2-myristoleoyl-sn-glycero-3-phosphocholine",Chemical,HMDB0008329
"PC(20:2(11Z,14Z)/18:1(11Z))",504840,"1-(11Z,14Z-Eicosadienoyl)-2-cis-vaccenoyl-sn-glycero-3-phosphocholine",Chemical,HMDB0008334
"PC(20:2(11Z,14Z)/18:1(9Z))",105182,"1-(11Z,14Z-Eicosadienoyl)-2-oleoyl-sn-glycero-3-phosphocholine",Chemical,HMDB0008335
"PC(20:2(11Z,14Z)/18:4(6Z,9Z,12Z,15Z))",645963,"1-(11Z,14Z-Eicosadienoyl)-2-stearidonoyl-sn-glycero-3-phosphocholine",Chemical,HMDB0008339
"PC(20:2(11Z,14Z)/20:2(11Z,14Z))",598923,"1,2-di-(11Z,14Z-Eicosadienoyl)-sn-glycero-3-phosphocholine",Chemical,HMDB0008342
"PC(20:2(11Z,14Z)/20:4(5Z,8Z,11Z,14Z))",405794,"1-(11Z,14Z-Eicosadienoyl)-2-arachidonoyl-sn-glycero-3-phosphocholine",Chemical,HMDB0008345
"PC(20:2(11Z,14Z)/20:4(8Z,11Z,14Z,17Z))",767216,,Chemical,HMDB0008346
"PC(20:2(11Z,14Z)/22:2(13Z,16Z))",861482,"1-(11Z,14Z-Eicosadienoyl)-2-(13Z,16Z-docosadienoyl)-sn-glycero-3-phosphocholine",Chemical,HMDB0008350
"PC(20:2(11Z,14Z)/P-18:1(11Z))",437541,,Chemical,HMDB0008359
"PC(20:2(11Z,14Z)/P-18:1(9Z))",180826,,Chemical,HMDB0008360
"PC(20:3(5Z,8Z,11Z)/14:0)",126385,"1-(5Z,8Z,11Z-Eicosatrienoyl)-2-myristoyl-sn-glycero-3-phosphocholine",Chemical,HMDB0008361
"PC(20:3(5Z,8Z,11Z)/14:1(9Z))",329595,"1-(5Z,8Z,11Z-Eicosatrienoyl)-2-myristoleoyl-sn-glycero-3-phosphocholine",Chemical,HMDB0008362
"PC(20:3(5Z,8Z,11Z)/18:0)",494153,"1-(5Z,8Z,11Z-Eicosatrienoyl)-2-stearoyl-sn-glycero-3-phosphocholine",Chemical,HMDB0008366
"PC(20:3(5Z,8Z,11Z)/18:3(6Z,9Z,12Z))",313529,"1-(5Z,8Z,11Z-Eicosatrienoyl)-2-gamma-linolenoyl-sn-glycero-3-phosphocholine",Chemical,HMDB0008370
"PC(20:3(5Z,8Z,11Z)/18:3(9Z,12Z,15Z))",390061,"1-(5Z,8Z,11Z-Eicosatrienoyl)-2-alpha-linolenoyl-sn-glycero-3-phosphocholine",Chemical,HMDB0008371
"PC(20:3(5Z,8Z,11Z)/20:1(11Z))",500785,"1-(5Z,8Z,11Z-Eicosatrienoyl)-2-(11Z-eicosenoyl)-sn-glycero-3-phosphocholine",Chemical,HMDB0008374
"PC(20:3(5Z,8Z,11Z)/20:3(5Z,8Z,11Z))",960386,"1,2-di-(5Z,8Z,11Z-Eicosatrienoyl)-sn-glycero-3-phosphocholine",Chemical,HMDB0008376
"PC(20:3(5Z,8Z,11Z)/20:3(8Z,11Z,14Z))",302986,"1-(5Z,8Z,11Z-Eicosatrienoyl)-2-dihomo-gamma-linolenoyl-sn-glycero-3-phosphocholine",Chemical,HMDB0008377
"PC(20:3(5Z,8Z,11Z)/22:1(13Z))",720217,"1-(5Z,8Z,11Z-Eicosatrienoyl)-2-erucoyl-sn-glycero-3-phosphocholine",Chemical,HMDB0008382
"PC(20:3(5Z,8Z,11Z)/22:2(13Z,16Z))",791999,"1-(5Z,8Z,11Z-Eicosatrienoyl)-2-(13Z,16Z-docosadienoyl)-sn-glycero-3-phosphocholine",Chemical,HMDB0008383
"PC(20:3(5Z,8Z,11Z)/P-18:0)",646725,"1-(5Z,8Z,11Z-Eicosatrienoyl)-2-(stearoyl-plasmenyl)-sn-glycero-3-phosphocholine",Chemical,HMDB0008391
"PC(20:3(8Z,11Z,14Z)/14:0)",141604,1-Dihomo-gamma-linolenoyl-2-myristoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008394
"PC(20:3(8Z,11Z,14Z)/14:1(9Z))",843133,1-Dihomo-gamma-linolenoyl-2-myristoleoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008395
"PC(20:3(8Z,11Z,14Z)/18:0)",151167,1-Dihomo-gamma-linolenoyl-2-stearoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008399
"PC(20:3(8Z,11Z,14Z)/18:3(6Z,9Z,12Z))",562700,1-Dihomo-gamma-linolenoyl-2-gamma-linolenoyl-sn-glycero-3-phosphocholine,Chemical,HMDB0008403
